Title,Subtitle,Image URL,Image Text,Paragraphs Text
Supreme Court directs SBI to disclose all details on electoral bonds to ECI by March 21,"Appearing for the State Bank of India, Senior Advocate Harish Salve informed the Supreme Court that there is no reservation on the part of the bank in disclosing all the details in its possession on electoral bonds.",https://images.indianexpress.com/2024/03/eb-sc-new.jpg?w=640,"There is no manner of doubt that SBI shall make disclosure of all information with it and it shall include the details of electoral bond numbers, the SC said","The Supreme Court’s Constitution bench hearing the electoral bonds matter on Monday asked the State Bank of India (SBI) to also disclose the unique alphanumeric code on the bonds to the Election Commission of India (ECI). The bench presided over by Chief Justice of India D Y Chandrachud also asked the Chairman and Managing Director of SBI to file an affidavit on or before 5 pm on March 21 stating that the bank has disclosed all details of the bonds to the ECI.
The bench, also comprising Justices Sanjiv Khanna, B R Gavai, J B Pardiwala and Manoj Misra, referred to its earlier orders on the matter and said the operative directions required the SBI to submit details of the electoral bonds purchased since the interim order dated April 12, 2019 till date to the ECI.
“Such details, the court has indicated ‘shall include the date of purchase of each electoral bond, the name of the purchaser of the bond and the denomination of the electoral bond purchased’,” the bench said, referring to a previous order.
“In the second part of the operative direction…SBI was required to submit ‘the details of political parties which have received contributions through electoral bonds’ since the interim order dated April 12, 2019, till date to the ECI,” it added.
“SBI was required to disclose details of each electrical bond encashed by political parties, inclusive of the date of encashment and the denomination of the electoral bond,” the court said, adding, “the above narration and a plain reading of paragraph 219 of the judgment of February 15, 2024 (striking down the electoral bonds scheme) indicates that SBI was required to submit all details both in terms of the purchase and in terms of receipt of contributions.”
The bench said “the expression ‘include’…clearly demonstrates that the inclusive part was treated as illustrative and not exhaustive of the nature of disclosure which was to be made by SBI.”
“In other words, there is no manner of doubt that SBI is required to make a complete disclosure of all details in its possession. This we clarify would comprehend the alphanumeric number and the serial number of any of the bonds which were purchased and redeemed,” the court ruled.
Appearing for the SBI, Senior Advocate Harish Salve said there is no reservation on the part of bank in disclosing all the details which are in its possession and custody.
Recording his statement, the court said, “In order to fully effectuate the order and to obviate any controversy in the future, we direct that the chairman and managing director of SBI shall file an affidavit on or before 5 pm on Thursday, indicating that SBI has disclosed all details of the electoral bonds which were in its possession and custody and that no details have been withheld from disclosure in terms of the directions contained in paragraph 221 of the judgment.”
It also directed that the ECI shall upload the details forthwith on communication by the SBI."
Supreme Court directs SBI to disclose all details on electoral bonds to ECI by March 21,"Appearing for the State Bank of India, Senior Advocate Harish Salve informed the Supreme Court that there is no reservation on the part of the bank in disclosing all the details in its possession on electoral bonds.",https://images.indianexpress.com/2024/03/eb-sc-new.jpg?w=640,"There is no manner of doubt that SBI shall make disclosure of all information with it and it shall include the details of electoral bond numbers, the SC said","The Supreme Court’s Constitution bench hearing the electoral bonds matter on Monday asked the State Bank of India (SBI) to also disclose the unique alphanumeric code on the bonds to the Election Commission of India (ECI). The bench presided over by Chief Justice of India D Y Chandrachud also asked the Chairman and Managing Director of SBI to file an affidavit on or before 5 pm on March 21 stating that the bank has disclosed all details of the bonds to the ECI.
The bench, also comprising Justices Sanjiv Khanna, B R Gavai, J B Pardiwala and Manoj Misra, referred to its earlier orders on the matter and said the operative directions required the SBI to submit details of the electoral bonds purchased since the interim order dated April 12, 2019 till date to the ECI.
“Such details, the court has indicated ‘shall include the date of purchase of each electoral bond, the name of the purchaser of the bond and the denomination of the electoral bond purchased’,” the bench said, referring to a previous order.
“In the second part of the operative direction…SBI was required to submit ‘the details of political parties which have received contributions through electoral bonds’ since the interim order dated April 12, 2019, till date to the ECI,” it added.
“SBI was required to disclose details of each electrical bond encashed by political parties, inclusive of the date of encashment and the denomination of the electoral bond,” the court said, adding, “the above narration and a plain reading of paragraph 219 of the judgment of February 15, 2024 (striking down the electoral bonds scheme) indicates that SBI was required to submit all details both in terms of the purchase and in terms of receipt of contributions.”
The bench said “the expression ‘include’…clearly demonstrates that the inclusive part was treated as illustrative and not exhaustive of the nature of disclosure which was to be made by SBI.”
“In other words, there is no manner of doubt that SBI is required to make a complete disclosure of all details in its possession. This we clarify would comprehend the alphanumeric number and the serial number of any of the bonds which were purchased and redeemed,” the court ruled.
Appearing for the SBI, Senior Advocate Harish Salve said there is no reservation on the part of bank in disclosing all the details which are in its possession and custody.
Recording his statement, the court said, “In order to fully effectuate the order and to obviate any controversy in the future, we direct that the chairman and managing director of SBI shall file an affidavit on or before 5 pm on Thursday, indicating that SBI has disclosed all details of the electoral bonds which were in its possession and custody and that no details have been withheld from disclosure in terms of the directions contained in paragraph 221 of the judgment.”
It also directed that the ECI shall upload the details forthwith on communication by the SBI."
Supreme Court directs SBI to disclose all details on electoral bonds to ECI by March 21,"Appearing for the State Bank of India, Senior Advocate Harish Salve informed the Supreme Court that there is no reservation on the part of the bank in disclosing all the details in its possession on electoral bonds.",https://images.indianexpress.com/2024/03/eb-sc-new.jpg?w=640,"There is no manner of doubt that SBI shall make disclosure of all information with it and it shall include the details of electoral bond numbers, the SC said","The Supreme Court’s Constitution bench hearing the electoral bonds matter on Monday asked the State Bank of India (SBI) to also disclose the unique alphanumeric code on the bonds to the Election Commission of India (ECI). The bench presided over by Chief Justice of India D Y Chandrachud also asked the Chairman and Managing Director of SBI to file an affidavit on or before 5 pm on March 21 stating that the bank has disclosed all details of the bonds to the ECI.
The bench, also comprising Justices Sanjiv Khanna, B R Gavai, J B Pardiwala and Manoj Misra, referred to its earlier orders on the matter and said the operative directions required the SBI to submit details of the electoral bonds purchased since the interim order dated April 12, 2019 till date to the ECI.
“Such details, the court has indicated ‘shall include the date of purchase of each electoral bond, the name of the purchaser of the bond and the denomination of the electoral bond purchased’,” the bench said, referring to a previous order.
“In the second part of the operative direction…SBI was required to submit ‘the details of political parties which have received contributions through electoral bonds’ since the interim order dated April 12, 2019, till date to the ECI,” it added.
“SBI was required to disclose details of each electrical bond encashed by political parties, inclusive of the date of encashment and the denomination of the electoral bond,” the court said, adding, “the above narration and a plain reading of paragraph 219 of the judgment of February 15, 2024 (striking down the electoral bonds scheme) indicates that SBI was required to submit all details both in terms of the purchase and in terms of receipt of contributions.”
The bench said “the expression ‘include’…clearly demonstrates that the inclusive part was treated as illustrative and not exhaustive of the nature of disclosure which was to be made by SBI.”
“In other words, there is no manner of doubt that SBI is required to make a complete disclosure of all details in its possession. This we clarify would comprehend the alphanumeric number and the serial number of any of the bonds which were purchased and redeemed,” the court ruled.
Appearing for the SBI, Senior Advocate Harish Salve said there is no reservation on the part of bank in disclosing all the details which are in its possession and custody.
Recording his statement, the court said, “In order to fully effectuate the order and to obviate any controversy in the future, we direct that the chairman and managing director of SBI shall file an affidavit on or before 5 pm on Thursday, indicating that SBI has disclosed all details of the electoral bonds which were in its possession and custody and that no details have been withheld from disclosure in terms of the directions contained in paragraph 221 of the judgment.”
It also directed that the ECI shall upload the details forthwith on communication by the SBI."
"Electoral bonds data: Months before 2019 polls, BJP got over Rs 3,941 crore, 77% of its year’s count","The ruling BJP redeemed over Rs 3,941.57 crore between March 2018 to May 22, 2019, according to a fresh set of data released by the Election Commission today.",https://images.indianexpress.com/2024/03/modi-3.jpg?w=640,"In all, the BJP has redeemed at least Rs 8,451.41 crore since launch of the scheme.","That the BJP is the No. 1 recipient of poll bonds is a trend that was established since the inception of the scheme.
Indeed, the ruling BJP redeemed over Rs 3,941.57 crore between March 2018 to May 22, 2019, according to a fresh set of data released by the Election Commission today. And 77.4% of this (Rs 3,050.11 crore) flowed into the party’s coffers in March, April and May 2019, the three months in the run-up to Lok Sabha polls.
The Lok Sabha polls 2019 were announced on March 10 that year and counting of votes was done on May 23.
In all, the BJP has redeemed at least Rs 8,451.41 crore since launch of the scheme.
Along with Lok Sabha polls, there were Assembly polls for Andhra Pradesh, Arunachal Pradesh, Odisha as well.
The geography of the branches from where these bonds were issued, shows that BJP got money from across the country with major contributions from Mumbai (Rs 1,493.21 crore), Kolkata (Rs 1,068.91 crore) and New Delhi (666.08 crore).
In November-December 2018, there were Assembly polls in Karnataka, Chhattisgarh, Madhya Pradesh, Rajasthan, Telangana, Mizoram. BJP had lost MP, Chhattisgarh and Rajasthan and returned to the government in Bhopal after a defection in Congress.
Bonds redeemed during months of October and November 2018 showed that BJP received Rs 330.41 crore in total. The next tranche was opened in January 2019 and the party redeemed bonds worth Rs 173 crore.
It was the Lok Sabha polls that opened the tap.
The window opened in early March in 2019, just before Lok Sabha polls were announced and in March that year, BJP redeemed bonds valued at Rs 769.48 crore.
In April, when polling began, the BJP’s redemption surged to Rs 1572.93 crore and in May that year, the party redeemed bonds for Rs 707.70 crore.
Data also shows that Kolkata accounted for 27 per cent of the BJP’s total collections during the period March 2018 to May 2019, showing how this was emerging as its new battleground – it won an unprecedented 18 of the state’s 42 seats.
Over 38 percent of the BJP’s redemptions were of bonds from Mumbai and the party redeemed Rs 666.08 crore (17%) in New Delhi. From Hyderabad, where BJP has little presence, it redeemed Rs 106.26 crore."
"Spike in 2021 poll year: For DMK, Future Gaming, Mega Infra, India Cements big donors","According to the data, the party received a total of Rs 656.5 crore via poll bonds from April 19 2019 till November 14, 2023.",https://images.indianexpress.com/2024/03/dmk-electoral-bonds.jpg?w=640,"Tamil Nadu Chief Minister and DMK leader M K Stalin speaks during a rally at the conclusion of the Bharat Jodo Nyay Yatra, in Mumbai, Sunday, March 17, 2024. (PTI Photo)","The DMK, currently the ruling party in Tamil Nadu, was one of three parties which disclosed the names of its poll bond donors, according to the latest data put out by the Election Commission on Sunday.
According to the data, the party received a total of Rs 656.5 crore via poll bonds from April 19 2019 till November 14, 2023.
In 2019-2020, coinciding with the May 2019 general elections, the DMK received contributions totalling Rs 45.50 crore, even as the party was out of power in the state. The major donors included India Cements with Rs 10 crore, Lakshmi Machine Works (LMW) with Rs 1.50 crore, RAMCO Cements with Rs 5 crore, Mega Infrastructure with Rs 20 crore, Apollo with Rs 1 crore, Triveni with Rs 5 crore, Birla with Rs 1 crore, and IRB with Rs 2 crore.
It is not clear if Mega Infra listed by DMK is the same as Megha Engineering, which was incorporated in 2006, while RoC records show a company named Mega Infrastructure incorporated in 2014.
In 2020-2021, the DMK saw contributions totaling Rs 80 crore. Future Gaming and Hotel Services Pvt Ltd (FGH) donated Rs 60 crore, while Mega chipped in with Rs 20 crore.
While the State Assembly elections were held in early 2021, the 2021-2022 financial year saw a big jump in the poll bond contributions received by the DMK, adding up to Rs 302 crore. FGH alone contributed Rs 249 crore, with Mega giving Rs 40 crore, Sun TV Network Rs 10 crore, India Cements Rs 4 crore, and Triveni Rs 3 crore.
The local body polls held in February 2022 were no less significant. The flow of funds via poll bonds during this period, notably from entities like FGH, sustained the momentum.
Among the major donors, FGH has been closely associated with the DMK for many years. While Santiago Martin, the owner of FGH, is known for his close association with DMK; he was targeted by late Chief Minister J Jayalalithaa in 2011 for his close ties with the DMK’s first family.
Martin’s son-in-law, Aadhav Arjuna, used to be a close aide of Chief Minister M K Stalin’s son-in-law, Sabareesan, and was seen as an “insider” of DMK’s political and strategic operations in the 2021 Assembly polls, a period when FGH contributed Rs 249 crore to the party.
Arjuna, a basketball player-cum-gym trainer, would also take part in the seat-sharing talks with the DMK’s smaller allies. However, he failed to get a DMK ticket in the 2024 Lok Sabha polls, and joined the VCK, a DMK ally, last month.
Triveni, another DMK donor, is engaged in infrastructure and engineering projects, with origins in Salem, and also has stakes in mining operations in Odisha. LMW, also based in Tamil Nadu, is engaged in machine tools manufacturing.
In 2022-2023, the poll bond contributions to the DMK added up to Rs 185 crore, including Rs 160 crore from FGH, and Rs 25 crore from Mega. FGH contributed an additional Rs 40 crore in 2023."
Over half of JD(S)’s electoral bond donations came from Megha Engineering,"According to the details submitted to the Election Commission of India by H D Deve Gowda, national president of the JD(S), electoral bond donations from MEIL amounted to Rs 50 crore – nearly 56 per cent of total received by the party.",https://images.indianexpress.com/2024/03/hd-deve-gowda.jpg?w=640,JD(S) president and former PM H D Deve Gowda. (Photo: Janata Dal Secular/ X),"Janata Dal (Secular), which was among the parties to have disclosed the identity of their electoral bond donors, received more than half of its total Rs 89.75-crore donations from Hyderabad-based Megha Engineering and Infrastructures Ltd (MEIL).
According to the details submitted to the Election Commission of India by H D Deve Gowda, national president of the JD(S), electoral bond donations from MEIL amounted to Rs 50 crore – nearly 56 per cent of total received by the party.
Run by Krishna Reddy, MEIL is involved in marquee projects of the Telangana government such as the Kaleswaram Dam project. In total, the company and its subsidiaries have spent more than Rs 1,200 crore on electoral bonds between April 2019 and November 2023, as per data released by the Election Commission. This makes it the second-largest purchaser of electoral bonds.
In October 2019, the Income Tax department raided the offices of the company. Following this, a probe was also initiated by the Enforcement Directorate. On April 12 that year alone, MEIL had purchased bonds worth Rs 50 crore. In March 2019, it had donated bonds worth Rs 10 crore to JD(S); it also donated Rs 40 crore via poll bonds to the JD(S) in 2023.
While MEIL was the biggest donor to the JD(S), which has aligned with the BJP in Karnataka to fight the upcoming Lok Sabha elections, the second-largest donor to the party was the Embassy Group of Companies, which donated Rs 22 crore. All the bonds from the Embassy Group were received by the JD(S) in 2018 – Rs 3 crore in March, Rs 7 crore in April and Rs 10 crore in May, two days after the announcement of the 2018 election results that led to a hung Assembly.
The Embassy Group is headed by Jitendra Mohandas Virwani, a major builder and realtor in Bengaluru. He has developed several prominent properties in the city and partnered K J George, currently Karnataka’s Energy minister, in the development of the Embassy Golf Links – one of the most prominent tech parks in the city.
The group also faced raids by the Income Tax Department in June 2022.
JSW Steel was another major donor to the JD(S), donating electoral bonds worth Rs 5 crore in three payments in 2019, between April 6 and 11. JSW runs a steel unit at Ballari and was at the centre of a controversy over the state government’s plan to sell 3,667 acres of land to the firm. In 2019, when the JD(S)’s H D Kumaraswamy was Karnataka chief minister, the state government had agreed to sell the land, but the sale was put on hold amid legal and political opposition to the move. Two years later, the BJP government under B S Yediyurappa had also decided to sell the land to the firm, but that plan was also later shelved.
Other major electoral bond donors to the JD(S) include Shankaranarayana Constructions (P) Ltd (donated Rs 5 crore), Biocon (Rs 2.5 crore), Amar Raj Groups (Rs 2 crore), Shahi Exports (Rs 1.5 crore), and Infosys Technologies Ltd (Rs 1 crore)."
"Tamilisai Sounderarajan quits as Telangana Governor, likely to contest Lok Sabha elections 2024",Tamilisai Sounderarajan has also resigned as the Lieutenant Governor of Puducherry ahead of Lok Sabha elections 2024.,https://images.indianexpress.com/2024/03/puducherry_a78acb.jpg?w=640,Reports claim that the leader is likely to contest the upcoming Lok Sabha polls.,"Tamilisai Soundararajan on Monday resigned as the Governor of Telangana and the Lieutenant Governor of Puducherry. While the sudden decision has come as a surprise, Soundararajan, 62, is expected to return to electoral politics and contest Lok Sabha elections 2024 from Tamil Nadu.
A press release from the Telangana Raj Bhavan stated, “The Hon’ble Governor of Telangana and Lieutenant Governor of Puducherry Dr. Smt. Tamilisai Soundararajan has tendered her resignation with immediate effect. The resignation has been submitted to the Hon’ble President of India.”
In September 2019, Soundararajan, the then-state president of the Tamil Nadu unit of the BJP for five years, took to the office of Telangana Governor and later took additional charge as the Lieutenant Governor of Puducherry in February 2021.
As per her engagements for Monday, Sounderarajan, who has served as the second Governor of Telangana, was scheduled to see off Prime Minister Narendra Modi after his public rally in Jagtial and virtually attend an event held by National Security and Strategic Studies.
Soundararajan is the daughter of former Tamil Nadu Congress Committee president Kumari Anandan and niece of H Vasanthakumar, a businessman and politician. A physician by profession, she began her career as a gynaecologist and has special training in sonology and fetal therapy.
Soundararajan served in the BJP’s state unit as the South Chennai District medical wing secretary in 1999, state general secretary of the medical wing in 2001, All India co-convenor (medical wing for southern states) in 2005, state general secretary in 2007, and state vice-president in 2010. She was elevated to the post of national secretary in 2013."
"Tamilisai Sounderarajan quits as Telangana Governor, likely to contest Lok Sabha elections 2024",Tamilisai Sounderarajan has also resigned as the Lieutenant Governor of Puducherry ahead of Lok Sabha elections 2024.,https://images.indianexpress.com/2024/03/puducherry_a78acb.jpg?w=640,Reports claim that the leader is likely to contest the upcoming Lok Sabha polls.,"Tamilisai Soundararajan on Monday resigned as the Governor of Telangana and the Lieutenant Governor of Puducherry. While the sudden decision has come as a surprise, Soundararajan, 62, is expected to return to electoral politics and contest Lok Sabha elections 2024 from Tamil Nadu.
A press release from the Telangana Raj Bhavan stated, “The Hon’ble Governor of Telangana and Lieutenant Governor of Puducherry Dr. Smt. Tamilisai Soundararajan has tendered her resignation with immediate effect. The resignation has been submitted to the Hon’ble President of India.”
In September 2019, Soundararajan, the then-state president of the Tamil Nadu unit of the BJP for five years, took to the office of Telangana Governor and later took additional charge as the Lieutenant Governor of Puducherry in February 2021.
As per her engagements for Monday, Sounderarajan, who has served as the second Governor of Telangana, was scheduled to see off Prime Minister Narendra Modi after his public rally in Jagtial and virtually attend an event held by National Security and Strategic Studies.
Soundararajan is the daughter of former Tamil Nadu Congress Committee president Kumari Anandan and niece of H Vasanthakumar, a businessman and politician. A physician by profession, she began her career as a gynaecologist and has special training in sonology and fetal therapy.
Soundararajan served in the BJP’s state unit as the South Chennai District medical wing secretary in 1999, state general secretary of the medical wing in 2001, All India co-convenor (medical wing for southern states) in 2005, state general secretary in 2007, and state vice-president in 2010. She was elevated to the post of national secretary in 2013."
"Tamilisai Sounderarajan quits as Telangana Governor, likely to contest Lok Sabha elections 2024",Tamilisai Sounderarajan has also resigned as the Lieutenant Governor of Puducherry ahead of Lok Sabha elections 2024.,https://images.indianexpress.com/2024/03/puducherry_a78acb.jpg?w=640,Reports claim that the leader is likely to contest the upcoming Lok Sabha polls.,"Tamilisai Soundararajan on Monday resigned as the Governor of Telangana and the Lieutenant Governor of Puducherry. While the sudden decision has come as a surprise, Soundararajan, 62, is expected to return to electoral politics and contest Lok Sabha elections 2024 from Tamil Nadu.
A press release from the Telangana Raj Bhavan stated, “The Hon’ble Governor of Telangana and Lieutenant Governor of Puducherry Dr. Smt. Tamilisai Soundararajan has tendered her resignation with immediate effect. The resignation has been submitted to the Hon’ble President of India.”
In September 2019, Soundararajan, the then-state president of the Tamil Nadu unit of the BJP for five years, took to the office of Telangana Governor and later took additional charge as the Lieutenant Governor of Puducherry in February 2021.
As per her engagements for Monday, Sounderarajan, who has served as the second Governor of Telangana, was scheduled to see off Prime Minister Narendra Modi after his public rally in Jagtial and virtually attend an event held by National Security and Strategic Studies.
Soundararajan is the daughter of former Tamil Nadu Congress Committee president Kumari Anandan and niece of H Vasanthakumar, a businessman and politician. A physician by profession, she began her career as a gynaecologist and has special training in sonology and fetal therapy.
Soundararajan served in the BJP’s state unit as the South Chennai District medical wing secretary in 1999, state general secretary of the medical wing in 2001, All India co-convenor (medical wing for southern states) in 2005, state general secretary in 2007, and state vice-president in 2010. She was elevated to the post of national secretary in 2013."
"INDIA shine at Mumbai rally sets the stage for showdown with NDA, but all eyes on what next","The Shivaji Park unity show, Rahul's symbolic memorial visits, good crowds put a spring in Congress step; BJP hits back",https://images.indianexpress.com/2024/03/WhatsApp-Image-2024-03-17-at-20.40.41-1.jpeg?w=640,"In speech after speech, the INDIA partners resolved to evolve a common minimum programme to fight the Narendra Modi-led BJP, accusing it of “dictatorship”, “communalism” and “corruption”. (Express Photo by Amit Chakravarty)","Twenty-four hours after the Lok Sabha election schedule was announced, Mumbai became the site of the battleground between INDIA versus the NDA as Rahul Gandhi wrapped up his Bharat Jodo Nyay Yatra.
The Congress leader’s final day was dotted with symbolism, starting from Mani Bhavan, Mahatma Gandhi’s long-time headquarters in then Bombay, and ending at Chaitya Bhoomi, the cremation site of Dr B R Ambedkar. Rahul skipped the Vinayak Damodar Memorial opposite Chaitya Bhoomi, but visited the Bal Thackeray Memorial next door after the BJP tried to put Rahul ally Uddhav Thackeray in a spot over it.
While the BJP seized on Rahul’s decision to not visit the Savarkar memorial to attack Congress ally Shiv Sena (UBT), questioning his commitment to Hindutva, the day belonged to INDIA for once, with its partners rallying around the coalition that has been sputtering its way to takeoff. It will also go some distance towards countering the impression that the Congress kept INDIA allies out of Rahul’s Bharat Jodo Nyay Yatra.
Sena (UBT) president Uddhav Thackeray was a prominent presence at the dais with Rahul and Priyanka Gandhi Vadra, apart from other senior Congress leaders, at Sunday evening’s rally held at Shivaji Park – a ground that holds much significance for the Shiv Sena – to mark the formal conclusion of the Yatra.
Also present was the other main Congress ally in the state, NCP (Sharadchandra Pawar), as well as its INDIA partners DMK, National Conference, Aam Aadmi Party and RJD. Samajwadi Party president Akhilesh Yadav sent a letter expressing his support.
In speech after speech, the INDIA partners resolved to evolve a common minimum programme to fight the Narendra Modi-led BJP, accusing it of “dictatorship”, “communalism” and “corruption”.
That the BJP was paying attention was clear from the focus it devoted to the rally. Maharashtra BJP president Chandrashekhar Bawankule posted an old video clip of the late Bal Thackeray, in which he is heard saying, “If such a situation arises where the Shiv Sena has to go with the Congress, I would rather shut down my organisation.”
“We are not attributing anything to Uddhav Thackeray,” Bawankule added. “We are just reminding him what Bal Thackeray said about (his) unholy alliance with the Congress… The Sena (UBT) already compromised its Hindutva ideology in 2019 by joining hands with the Congress and NCP for power. Now, it is ready to compromise its stand on freedom fighter Veer Savarkar…”
However, this line of attack is unlikely to cut much ice, given that Uddhav’s alliance with the Congress-NCP now carries the patina of four years, and that many Sena loyalists still swear by him rather than the Sena faction led by Eknath Shinde, seen as the BJP’s creation. Plus, old-timers still remember that Bal Thackeray himself had supported Congress PM Indira Gandhi’s Emergency move in 1975.
The hope in the Maha Vikas Aghadi (MVA) ranks now will be that the euphoria of Sunday’s rally will be the glue that will paper over the strains of seat-sharing. With Rahul drawing good crowds in Maharashtra, a state where the battle is still far from decided in the NDA’s favour, the Congress will bank on it for a better deal for the party – particularly when on the other side of the table are heavyweights such as Uddhav and Sharad Pawar. The Yatra is also seen to have generated a buzz for the Congress among its traditional Muslim and Dalit vote banks.
Noted Dalit writer Arjun Dangle is among those who believes this is the case. “There is a strong perception among Ambedkarites that the BJP will undermine the Constitution if it returns to power. This time it will be reflected in the voting, with a sizeable number of Dalits shifting away from the BJP,” he said.
A senior leader aligned with the BJP admitted that the party remains unsure of the Maharashtra scene: “Although we split the Shiv Sena and NCP, it is difficult to ascertain its benefits electorally.” Like Uddhav, Sharad Pawar can expect to get some sympathy vote for the BJP’s hand in breaking the NCP, a party that he nurtured through long, hard years, at a time when he is in his twilight.
Any Maharashtra predictions have also been rendered difficult due to the Maratha reservation move, with no one sure whether the OBCs have been suitably placated.
On Sunday, as INDIA prepared for its unity show, the BJP dispatched former CM and Congress-turned-BJP Maratha leader Ashok Chavan to meet Maratha quota activist Manoj Jarange Patil, who keeps making threats of renewing his agitation.
Senior BJP leader and Deputy CM Devendra Fadnavis told The Indian Express: “We are confident that the people’s mandate will be for PM Narendra Modi… Fissures within the INDIA bloc or the MVA are inevitable.”
But at least on Sunday evening, as dark descended on Shivaji Park, INDIA showed a spark – enough to cast a little shadow over the BJP’s target of 45-plus seats out of the total 48."
